,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-heart-rate-models,Python
89,ml-hierarchical-confusion-matrix,TypeScript
90,ml-hypersim,Python
91,ml-interspeech2022-phi_rtn,
92,ml-kge,Python
93,ml-knowledge-conflicts,Python
94,ml-live-pose,
95,ml-llarp,Python
96,ml-mgie,Python
97,ml-mkqa,Python
98,ml-mobileone,Swift
99,ml-multiple-futures-prediction,Python
100,ml-ncg,Python
101,ml-neilf,Python
102,ml-neilfpp,Python
103,ml-neuman,Python
104,ml-no-token-left-behind,Jupyter Notebook
105,ml-np-rasp,Python
106,ml-nvas3d,Python
107,ml-pointconvformer,Python
108,ml-pointersect,Python
109,ml-probabilistic-attention,Python
110,ml-projunit,Python
111,ml-qrecc,Python
112,ml-quant,Python
113,ml-reed,Python
114,ml-rlgrad,Python
115,ml-robust-expert-augmentations,Python
116,ml-sad,Python
117,ml-selfcond,Python
118,ml-shuffling-amplification,Python
119,ml-sigma-reparam,Python
120,ml-spatial-librispeech,
121,ml-spin,Python
122,ml-stable-diffusion,Python
123,ml-stabledreamer,
124,ml-stuttering-events-dataset,Python
125,ml-symphony,Svelte
126,ml-tic-clip,
127,ml-tract,Python
128,ml-transcript-translation-consistency-ratings,
129,ml-translate-vis,TypeScript
130,ml-tree-dst,Python
131,ml-tune-mode-convbn,Python
132,ml-upscale,Jupyter Notebook
133,ml-uwac,Python
134,ml-vfi-smiff,Python
135,ml-vision-transformers-ane,Python
136,openjdk,Java
137,password-manager-resources,JavaScript
138,pkl,Java
139,pkl-go,Go
140,pkl-go-examples,Go
141,pkl-intellij,Kotlin
142,pkl-jvm-examples,Groovy
143,pkl-k8s,Kotlin
144,pkl-k8s-examples,
145,pkl-lang.org,JavaScript
146,pkl-neovim,Scheme
147,pkl-package-docs,Kotlin
148,pkl-pantry,Kotlin
149,pkl-project-commons,
150,pkl-spring,Java
151,pkl-swift,Swift
152,pkl-swift-examples,Swift
153,pkl-vscode,TypeScript
154,sample-backyard-birds,Swift
155,sample-cloudkit-coredatasync,Swift
156,sample-cloudkit-encryption,Swift
157,sample-cloudkit-privatedb,Swift
158,sample-cloudkit-privatedb-sync,Swift
159,sample-cloudkit-queries,Swift
160,sample-cloudkit-sharing,Swift
161,sample-cloudkit-sync-engine,Swift
162,sample-cloudkit-tooling,JavaScript
163,sample-cloudkit-zonesharing,Swift
164,sample-food-truck,Swift
165,servicetalk,Java
166,sourcekit-lsp,Swift
167,swift,C++
168,swift-3-api-guidelines-review,Swift
169,swift-algorithms,Swift
170,swift-aoc-starter-example,Swift
171,swift-argument-parser,Swift
172,swift-asn1,Swift
173,swift-async-algorithms,Swift
174,swift-async-dns-resolver,Swift
175,swift-atomics,Swift
176,swift-book,Markdown
177,swift-cassandra-client,Swift
178,swift-certificates,Swift
179,swift-clang,C++
180,swift-clang-tools-extra,C++
181,swift-cluster-membership,Swift
182,swift-cmake-examples,CMake
183,swift-cmark,C
184,swift-collections,Swift
185,swift-collections-benchmark,Swift
186,swift-community-hosted-continuous-integration,
187,swift-compiler-rt,C
188,swift-corelibs-foundation,Swift
189,swift-corelibs-libdispatch,C
190,swift-corelibs-xctest,Swift
191,swift-crypto,C
192,swift-distributed-actors,Swift
193,swift-distributed-tracing,Swift
194,swift-distributed-tracing-baggage-core,Swift
195,swift-distributed-tracing-extras,Swift
196,swift-docc,Swift
197,swift-docc-plugin,Swift
198,swift-docc-render,JavaScript
199,swift-docc-render-artifact,
200,swift-docc-symbolkit,Swift
201,swift-docker,Dockerfile
202,swift-driver,Swift
203,swift-evolution,Markdown
204,swift-evolution-staging,Swift
205,swift-experimental-string-processing,Swift
206,swift-format,Swift
207,swift-foundation,Swift
208,swift-foundation-icu,C
209,swift-getting-started-cli,Swift
210,swift-getting-started-package-library,Swift
211,swift-http-structured-headers,Swift
212,swift-http-types,Swift
213,swift-installer-scripts,CMake
214,swift-integration-tests,Python
215,swift-internals,HTML
216,swift-issues,
217,swift-libcxx,C++
218,swift-llbuild,C++
219,swift-llbuild2,Swift
220,swift-lldb,C++
221,swift-llvm,LLVM
222,swift-llvm-bindings,Swift
223,swift-lmdb,C
224,swift-log,Swift
225,swift-markdown,Swift
226,swift-metrics,Swift
227,swift-metrics-extras,Swift
228,swift-mmio,Swift
229,swift-nio,Swift
230,swift-nio-examples,Swift
231,swift-nio-extras,Swift
232,swift-nio-http2,Swift
233,swift-nio-imap,Swift
234,swift-nio-nghttp2-support,Swift
235,swift-nio-ssh,Swift
236,swift-nio-ssl,C
237,swift-nio-ssl-support,Swift
238,swift-nio-transport-services,Swift
239,swift-nio-zlib-support,Swift
240,swift-numerics,Swift
241,swift-openapi-generator,Swift
242,swift-openapi-runtime,Swift
243,swift-openapi-urlsession,Swift
244,swift-org-website,SCSS
245,swift-package-collection-generator,Swift
246,swift-package-manager,Swift
247,swift-package-registry-compatibility-test-suite,Swift
248,swift-protobuf,Swift
249,swift-protobuf-plugin,
250,swift-protobuf-test-conformance,
251,swift-sample-distributed-actors-transport,Swift
252,swift-sdk-generator,Swift
253,swift-se0270-range-set,Swift
254,swift-se0288-is-power,Swift
255,swift-service-context,Swift
256,swift-service-discovery,Swift
257,swift-source-compat-suite,Python
258,swift-standard-library-preview,Swift
259,swift-statsd-client,Swift
260,swift-stress-tester,Swift
261,swift-syntax,Swift
262,swift-system,Swift
263,swift-testing,Swift
264,swift-tools-support-async,Swift
265,swift-tools-support-core,Swift
266,swift-xcode-playground-support,Swift
267,swiftpm-on-llbuild2,Swift
268,tensorflow_macos,Shell
269,tree-sitter-pkl,C
270,turicreate,C++
271,unityplugins,C#
272,VideoFlashingReduction,Mathematica
273,vqg-multimodal-assistant,Python
